"primary_type","community_area","count"
"CRIM SEXUAL ASSAULT","024","12"
"ASSAULT","004","2839"
"CRIMINAL DAMAGE","008","1264"
"OFFENSE INVOLVING CHILDREN","004","133"
"WEAPONS VIOLATION","","4650"
"PROSTITUTION","69","481"
"CRIM SEXUAL ASSAULT","2","280"
"CRIM SEXUAL ASSAULT","71","788"
"CRIM SEXUAL ASSAULT","30","471"
"SEX OFFENSE","009","83"
"BURGLARY","015","111"
"ROBBERY","009","74"
"CRIM SEXUAL ASSAULT","55","48"
"PROSTITUTION","75","14"
"GAMBLING","002","18"
"ARSON","011","20"
"KIDNAPPING","47","7"
"KIDNAPPING","019","11"
"DECEPTIVE PRACTICE","020","28"
"STALKING","016","4"
"CONCEALED CARRY LICENSE VIOLATION","33","4"
"OTHER NARCOTIC VIOLATION","44","1"
"OTHER NARCOTIC VIOLATION","","9"
"NON-CRIMINAL","61","3"
"NON - CRIMINAL","25","1"
"HUMAN TRAFFICKING","43","1"
"PUBLIC INDECENCY","68","2"
"PROSTITUTION","55","2"
"ASSAULT","0112","1"
"PUBLIC INDECENCY","31","2"
"NON - CRIMINAL","43","1"
"NON - CRIMINAL","23","1"
"NON - CRIMINAL","37","1"
"PUBLIC INDECENCY","17","1"
"ASSAULT","1924","1"
"ASSAULT","2412","1"
"MOTOR VEHICLE THEFT","55","536"
"MOTOR VEHICLE THEFT","8","5705"
"OTHER OFFENSE","29","11281"
"BATTERY","13","2743"
"DECEPTIVE PRACTICE","53","3272"
"THEFT","006","1509"
"BATTERY","0432","29"
"CRIMINAL DAMAGE","10","5018"
"OTHER OFFENSE","3","6293"
"BURGLARY","43","17217"
"NARCOTICS","2","3982"
"ROBBERY","28","7491"
"NARCOTICS","67","25234"
"LIQUOR LAW VIOLATION","6","469"
"OFFENSE INVOLVING CHILDREN","48","362"
"CRIMINAL SEXUAL ASSAULT","29","186"
"CRIMINAL SEXUAL ASSAULT","46","101"
"BATTERY","0722","51"
"ASSAULT","41","2403"
"ROBBERY","77","2387"
"LIQUOR LAW VIOLATION","71","223"
"OTHER OFFENSE","11","2667"
"CRIMINAL DAMAGE","55","2476"
"BATTERY","0931","16"
"WEAPONS VIOLATION","41","195"
"BATTERY","2432","20"
"ASSAULT","0614","7"
"CRIMINAL SEXUAL ASSAULT","66","140"
"ASSAULT","0722","20"
"SEX OFFENSE","58","456"
"BATTERY","0235","9"
"CRIMINAL SEXUAL ASSAULT","27","110"
"ASSAULT","59","1763"
"STALKING","73","54"
"CRIMINAL TRESPASS","19","2345"
"BATTERY","2433","15"
"BATTERY","0713","34"
"NARCOTICS","13","814"
"BATTERY","1822","13"
"WEAPONS VIOLATION","16","461"
"INTERFERENCE WITH PUBLIC OFFICER","8","509"
"CRIMINAL SEXUAL ASSAULT","22","105"
"ASSAULT","1822","4"
"LIQUOR LAW VIOLATION","44","102"
"NARCOTICS","5","1320"
"BATTERY","0822","13"
"MOTOR VEHICLE THEFT","015","536"
"CRIMINAL SEXUAL ASSAULT","51","21"
"OFFENSE INVOLVING CHILDREN","76","102"
"ROBBERY","55","248"
